address,balance
celestia14ntfv0qkg8522xe0pvrfgqxcmnj5x466fcqgae,108900
celestia1j2jq259d3rrc24876gwxg0ksp0lhd8gys65rxd,101900
celestia1ac4mnwg79gyvd0x5trl2fgjv07lgfas00dtggp,98400
celestia1vl2ef86uxflhdy2qvy9f7qdpwzuw5jmar6gejm,93900
celestia1rq8kvlncjvs42hmrx90dcff2tdshj5k75mqwew,93400
celestia1cs37tvmahavw8xcnzcgyz342sh0al37mc2qetd,78150
celestia1m07mptc7nhz2qk55qa8xeyqt992sktddw354an,77900
celestia17p8y0sm76zhrtjny98tknevafvlq9860ugx05h,76950
celestia1zdrz4w2pwwffdvmpum0626vycel9caayqvncfe,75950
celestia1rrkk74mgyn2ylf5q27zwe8069n2qfyelnlvmgt,74400
celestia1vdp8q3v72mntewqqak56yk3gzz7h5ukmumeups,72900
celestia1un77nfm6axkhkupe8fk4xl6fd4adz3y5qk7ph6,72900
celestia1t345w0vxnyyrf4eh43lpd3jl7z378rtsgv8j5h,72900
celestia1kl5nxl54xt3g6k5k4zlk48udfcx8gkz2kkvm7e,72150
celestia1wu24jxpn9j0580ehjz344d58cf3t7lzrxhzz99,70650
celestia19kr4f4ndyek6kwa0vt3w4un8he0tkekuvz9juw,69900
celestia1hm2d8e6nd5ngtlte3hlded03vgj3rer9sne5de,69900
celestia1ekr44a2fss4emywwke36cuem46fmatdvtt5f8s,69400
celestia1vfkgjmjxkvj0kfnzf5jkjzkj7wn3ms8dzwatqk,68450
celestia1evu846d408jdz5ju4883gtq9pnjvs8hzq8z2c9,66400
celestia187fhh435s76juewsmrey5yv3ljq4vpptmahqvr,67700
celestia1gm7txvnd539ruc86mkz2sgnz3r456e86d6rffn,67700
celestia1qdfdh8stxpkj4zz46x2n9ejyyy9h0c86s4kaya,67700
celestia1yknsyf9ws4ugtv3r9g43kwqkne4zmrupae4xa3,66000
celestia1q8teur40emyun60et4wh5z6yj5669stg8cyfzr,67200
celestia1dlsl4u42ycahzjfwc6td6upgsup9tt7c8cwedn,66900
celestia19f0w9svr905fhefusyx4z8sf83j6et0g3p3ppp,66900
celestia1ryyzale2qcp3e35k0ze3kc0mpfdtw9jad8jf8s,66900
celestia17srrapx2cvqyyy4rg3menq0hn86py8f3nqmxpe,66900
celestia1cmaga4f6f7pttuwzfldn9067ld3090uw2xcmkp,66900
celestia1pavac9yrlgwyw6v9yx84sttc96n9ee9zxdln2c,66900
celestia1yxrf303ewxrwndex9cxj0mg24vekrpqshuaxjh,66900
celestia1nttcw852wga4y4gww3hu70djg9d4fu4ca6ak38,66900
celestia1djqecw6nn5tydxq0shan7srv8j65clsf7vypl6,66900
celestia1vfydl5r98zev8xc7j0mus28r63jcklsulww9t3,66900
celestia1cydgz3dtxpqd8j8t2k3wh9wa9vc28tkt53zges,64900
celestia1m58punvt32u07ra4p6x7krgxakye3m90xa2zr7,66750
celestia139mu0a0ucz0gmrkavm5wjar2lpx7yvxq5xgd0j,65900
celestia1cqgzxhn3dqd58xexz8yley2wntdvym4e7awcmc,65000
celestia1mhux0vt6qszz8qwv8axggt02jjm7tuvdvgq835,63400
celestia17h2x3j7u44qkrq0sk8ul0r2qr440rwgjzhd27f,65300
celestia1eualhqh07w7p45g45hvrjagkcxsfnflzg3kt5w,65100
celestia1vl3dkus7g0cj4lg0e2jrqk2reukmlht0uxup4n,64500
celestia1l0zmpm02u240crndlj7hkvlj5azuglv4uytp5d,64500
celestia1vlugkygcx9dng7lsc03wjw997zq855xytylgh5,64500
celestia1pmn4cjwf26hkcpvyl322glhpdpcemcelz8ln6e,64500
celestia1nwu3ugynh8m6r7aphv0uxnca84t7gnrufmxqn7,64500
celestia15urq2dtp9qce4fyc85m6upwm9xul3049d30meq,62000
celestia1e2p4u5vqwgum7pm9vhp0yjvl58gvhfc6pkljcn,64400
